country_name,city_name,aqi_value,aqi_category,dominant_pollutant,predicted_aqi,error,risk_level
United States of America,East Rockaway,109,Unhealthy for Sensitive Groups,PM2.5,109.0,0.0,Unhealthy (Sensitive)
Senegal,Khombole,157,Unhealthy,PM2.5,157.0,0.0,Unhealthy
Brazil,Petrolina,14,Good,OZONE,14.0,0.0,Good
Czechia,Tabor,67,Moderate,PM2.5,67.0,0.0,Moderate
United States of America,Hercules,47,Good,PM2.5,47.0,0.0,Good
India,Deori,172,Unhealthy,PM2.5,172.0,0.0,Unhealthy
United States of America,East Norriton,48,Good,OZONE,48.0,0.0,Good
Russian Federation,Troitskiy,35,Good,OZONE,35.0,0.0,Good
Germany,Voerde,54,Moderate,PM2.5,54.0,0.0,Moderate
India,Kumher,323,Hazardous,PM2.5,325.8,2.8,Hazardous
Brazil,Acu,25,Good,OZONE,25.0,0.0,Good
Bosnia and Herzegovina,Tuzla,62,Moderate,PM2.5,62.0,0.0,Moderate
Italy,Magenta,75,Moderate,PM2.5,75.0,0.0,Moderate
United States of America,Indianapolis,71,Moderate,PM2.5,71.0,0.0,Moderate
United Kingdom of Great Britain and Northern Ireland,Mangotsfield,56,Moderate,PM2.5,56.0,0.0,Moderate
Turkey,Duzici,59,Moderate,PM2.5,59.0,0.0,Moderate
Mexico,Las Margaritas,61,Moderate,PM2.5,61.0,0.0,Moderate
Russian Federation,Chita,39,Good,OZONE,39.0,0.0,Good
China,Boli,37,Good,OZONE,37.0,0.0,Good
Honduras,Santa Rosa De Copan,73,Moderate,PM2.5,73.0,0.0,Moderate
Russian Federation,Chernogorsk,37,Good,PM2.5,37.0,0.0,Good
Indonesia,Serang,195,Unhealthy,OZONE,194.8,0.2,Unhealthy
France,Manosque,68,Moderate,PM2.5,68.0,0.0,Moderate
Italy,Rovato,82,Moderate,PM2.5,82.0,0.0,Moderate
India,Chittur,69,Moderate,PM2.5,69.0,0.0,Moderate
United States of America,Dayton,45,Good,PM2.5,45.0,0.0,Good
Italy,Pianezza,152,Unhealthy,PM2.5,152.0,0.0,Unhealthy
United States of America,West Point,60,Moderate,PM2.5,60.0,0.0,Moderate
India,Raisen,153,Unhealthy,PM2.5,153.0,0.0,Unhealthy
El Salvador,Cojutepeque,123,Unhealthy for Sensitive Groups,PM2.5,123.2,0.2,Unhealthy (Sensitive)
Russian Federation,Kurchaloy,58,Moderate,PM2.5,58.0,0.0,Moderate
China,Encheng,64,Moderate,PM2.5,64.0,0.0,Moderate
United States of America,Yeadon,59,Moderate,PM2.5,59.0,0.0,Moderate
United States of America,Attleboro,68,Moderate,PM2.5,68.0,0.0,Moderate
Poland,Lublin,32,Good,OZONE,32.0,0.0,Good
India,Dhing,124,Unhealthy for Sensitive Groups,PM2.5,124.1,0.1,Unhealthy (Sensitive)
Niger,Diffa,70,Moderate,PM2.5,70.0,0.0,Moderate
Russian Federation,Neman,33,Good,OZONE,33.0,0.0,Good
United Kingdom of Great Britain and Northern Ireland,Stamford,35,Good,OZONE,35.0,0.0,Good
Philippines,Catbalogan,68,Moderate,PM2.5,68.0,0.0,Moderate
United States of America,Clemson,65,Moderate,PM2.5,65.0,0.0,Moderate
Germany,Nordstemmen,59,Moderate,PM2.5,59.0,0.0,Moderate
Japan,Oyama,46,Good,OZONE,46.0,0.0,Good
Indonesia,Purwodadi,69,Moderate,PM2.5,69.0,0.0,Moderate
Cameroon,Batouri,49,Good,PM2.5,49.0,0.0,Good
Australia,Cairns,28,Good,OZONE,28.0,0.0,Good
Russian Federation,Abaza,30,Good,OZONE,30.0,0.0,Good
Thailand,Ban Tak,42,Good,PM2.5,42.0,0.0,Good
United Kingdom of Great Britain and Northern Ireland,Bideford,60,Moderate,PM2.5,60.0,0.0,Moderate
Germany,Bovenden,34,Good,PM2.5,34.0,0.0,Good
United States of America,Danbury,57,Moderate,PM2.5,57.0,0.0,Moderate
Spain,Chipiona,35,Good,OZONE,35.0,0.0,Good
Malaysia,Pekan Nenas,116,Unhealthy for Sensitive Groups,PM2.5,116.0,0.0,Unhealthy (Sensitive)
Madagascar,Ankazoabo,44,Good,PM2.5,44.0,0.0,Good
Brazil,Passira,23,Good,OZONE,23.0,0.0,Good
